SG ID,SG,SD ID,SD,New,Synoynm,,
360,Service Types,14046, Provider Escalation/RAG (Capacity),,,,
360,Service Types,14047,Single Point of Access (SPoA)',NAME CHANGE,,,
360,Service Types,14048, Safeguarding,,,,
360,Service Types,14049, Sexual Health,,,,
360,Service Types,14050, Social Care,,,,
360,Service Types,14051, Spare,,,,
360,Service Types,14052, Specialist Service,,,,
360,Service Types,14053,Specialty Emergency Department (Spec ED) ,NAME CHANGE,,,
360,Service Types,14054, Therapist,,,,
360,Service Types,14055, UCC,,,,
360,Service Types,14056, Voluntary agency,,,,
360,Service Types,14057, WIC,,,,
360,Service Types,14058,Triage (DELETE),,,,
360,Service Types,14059,Minor Eye Condition Service (MECS),,,,
360,Service Types,14060,NHS111 Provider,,,,
360,Service Types,14061,Pharmacist Enhanced Service,,,,
360,Service Types,14062,Pharmacist Urgent Prescription,NAME CHANGE,,,
361,Special Educational Needs and Disability,11860,Communication and Interaction ,,,,
361,Special Educational Needs and Disability,11861,Autism Spectrum Disorder (ASD),,,,
361,Special Educational Needs and Disability,11862,Aspergers syndrome,,,,
361,Special Educational Needs and Disability,11863,"Speech, Language & Communication (SLCN)",,,,
361,Special Educational Needs and Disability,11864,Cognition and Learning,,,,
361,Special Educational Needs and Disability,11865,Moderate Learning Difficulty,,,,
361,Special Educational Needs and Disability,11866,Learning Disabilty,,,,
361,Special Educational Needs and Disability,11867,Severe Learning Difficulty (SLD),,,,
361,Special Educational Needs and Disability,11868,Profound Complex Disabilities,,,,
361,Special Educational Needs and Disability,11869,Profound and multiple Learning Difficulties (PMLD),,,,
361,Special Educational Needs and Disability,11870,Other Learning Difficulty ,,,,
361,Special Educational Needs and Disability,11871,Dyslexia,,,,
361,Special Educational Needs and Disability,11872,Dyscalculia,,,,
361,Special Educational Needs and Disability,11873,Specific Learning Difficulties (SpLD) including Dyspraxia,,,,
361,Special Educational Needs and Disability,11874,multiple Learning difficulties,,,,
361,Special Educational Needs and Disability,11875,"Social, Emotional, Mental Health and Behavioural difficulities",,,,
361,Special Educational Needs and Disability,11876,CAMHS,,,,
361,Special Educational Needs and Disability,11877,Sensory and or physical needs,,,,
361,Special Educational Needs and Disability,11878,Mental Health difficulty,,,,
361,Special Educational Needs and Disability,11879,social and emotional difficulties,,,,
361,Special Educational Needs and Disability,11880,Multi Sensory impairment (MSI),,,,
361,Special Educational Needs and Disability,11881,Visual Impairment (VI),,,,
361,Special Educational Needs and Disability,11882,Hearing Impairment (HI),,,,
361,Special Educational Needs and Disability,11883,Cerebral Palsy,,,,
361,Special Educational Needs and Disability,11884,Disability affecting mobility,,,,
361,Special Educational Needs and Disability,11885,Hearing Impairment difficulties,,,,
361,Special Educational Needs and Disability,11886,Hearing Impairment support - Makaton,,,,
361,Special Educational Needs and Disability,11887,Hearing Impairment support - British Sign Language,,,,
361,Special Educational Needs and Disability,11888,Hearing Impairment support - Baby Signing,,,,
361,Special Educational Needs and Disability,11889,Hearing Impairment support - Sign Language,,,,
361,Special Educational Needs and Disability,11890,Other Disability ,,,,
361,Special Educational Needs and Disability,11891,Other Physical Disability,,,,
361,Special Educational Needs and Disability,11892,multiple Disabilities,,,,
361,Special Educational Needs and Disability,11893,Temporary Disability,,,,
361,Special Educational Needs and Disability,11894,Severe Allergies (SEND),,,,
361,Special Educational Needs and Disability,11895,Meningitis (SEND),,,,
361,Special Educational Needs and Disability,11896,Severe Dietary Needs (SEND),,,,
361,Special Educational Needs and Disability,11897,Genetic Disorders (SEND),,,,
361,Special Educational Needs and Disability,11913,Disabled Young persons Support Group,,,,
361,Special Educational Needs and Disability,11914,Young persons with Learning Disabilities Support Group,,,,
361,Special Educational Needs and Disability,11915,Independent living(Preparing for Adulthood),,,,
361,Special Educational Needs and Disability,11916,Social housing (Preparing for Adulthood),,,,
361,Special Educational Needs and Disability,11917,Supported Living (Preparing for Adulthood),,,,
361,Special Educational Needs and Disability,11918,Mobility Schemes (Preparing for Adulthood),,,,
361,Special Educational Needs and Disability,11919,Sexual Health (Preparing for Adulthood),,,,
361,Special Educational Needs and Disability,11920,Healthy Eating (Preparing for Adulthood),,,,
361,Special Educational Needs and Disability,11921,Drug and Alcohol  (Preparing for Adulthood),,,,
361,Special Educational Needs and Disability,11922,Emotional Health and Wellbeing,,,,
361,Special Educational Needs and Disability,11923,Personal Health Budgets,,,,
361,Special Educational Needs and Disability,11934,Habilitation,,,,
